会社,題名,説明
Hachette,アルカディア号ダイキャストギミックモデルをつくる,"キャプテンハーロック率いる 宇宙海賊戦艦を精密に再現!!
アルカディア号 どくろの旗をかかげ、信じるもののために 命をかけて戦う男の艦がいまここに！！
こちらはプレミアム定期購読のアイテムを含めた完成写真です。プレミアム定期購読を是非ご検討ください！
組み立て簡単！！初心者の方でも無理なく組み立てられます。
※本シリーズは全125号で完結予定です。
※第2号以降は通常価格2,199円(10%税込)です。

1978年にTVアニメ版も放送された『宇宙海賊キャプテンハーロック』は、まぎれもなく松本零士の代表作のひとつだ。その主人公・ハーロックが操る海賊戦艦アルカディア号が、1979年の劇場版『銀河鉄道999』に登場する際にデザインを一新、艦首にどくろのシンボルを掲げた力強い姿に生まれ変わった。この新たなアルカディア号が、かつてないスケールとギミックを満載したダイキャストモデルとなって遂に完成！ いま轟音を響かせ宇宙の海へと旅立つ！"
Hachette,THETERMINATORT-800をつくる,"サラ・コナーを抹殺せよ− 未来から転送された最強殺人マシン、T-800
映画『ターミネーター』TM のオリジナルモデルから設計された 人間抹殺用アンドロイドT-800エンドスケルトンを組み立てる！
スカイネットが製造した 最強の殺人兵器T-800。 高度な戦闘能力を備え 銃器や炎に至るまで あらゆる種類の 攻撃耐性をもつ。
製作時には新進気鋭の若手監督であったジェームズ・キャメロンがつくり上げた近未来世界の悪夢は、映画史に残る傑作シリーズへと発展した。1984年に全世界公開されたアメリカ映画『ターミネーター』TMは、テクノロジーと人工知能の暗黒面を捉え、未来の黙示録的ディストピアを描いた新感覚のSFホラー映画として、ハリウッドに革命をもたらした。"
Hachette,鉄の城マジンガーＺ巨大メタルギミックモデルをつくる（延長）：偉大な勇者グレートマジンガー,"101号からグレートマジンガーがスタート!迫力の巨大モデルがついに登場!

読者のみなさまによる熱い声援により、本シリーズの延長が決定いたしました。
101号からは、みなさまからご要望が多かった「グレートマジンガー」を、マジンガーZと同じスケールで組み立てていきます。驚異の全高90cmにさまざまなギミックを内蔵したスーパーロボットが完成します。 "
Hachette,西部警察MACHINE RS-1ダイキャストギミックモデルをつくる（延長）：SUPER Z日産フェアレディ 280Z,"101号から「スーパーZ」がスタート！！金色のダイキャストモデルがあなたの手に！！

読者のみなさまによる熱い応援のおかげで、本シリーズの延長が決定しました。101号からはRS-1と人気を二分するスーパーマシン「スーパーZ」を、RS-1と同じ1/8スケールで組み立てていきます。
スーパーZ をビッグサイズでモデル化！ガルウィングや発光など本物と同じギミックが楽しめる！

ボディには重量感あるダイキャストを使用。フェアレディZでいちばん美しいシルエットを追求し、内部はもちろん各部の可動部や発光ギミックなども徹底再現しています。"
Hachette,週刊 ランチアストラトスをつくる,"

1973年にラリーの世界選手権としてスタートしたワールド・ラリー・チャンピオンシップ（WRC）。
ランチア ストラトスは、このラリー戦で勝つために開発された生粋の“パーパス・ビルド・マシン”であった。
ベルトーネデザインの美麗なフォルムとは裏腹にフェラーリ ディーノV6エンジンの野獣の如き走りは1970年代WRC草創期のあらゆるラリーコースを席巻。ランチアは1974年から1976年のマニファクチャラーズタイトルを３年連続で獲得する快挙を成し遂げた。
華麗な伝説をまとうラリーカーの傑作、ランチア ストラトスがいま甦る！
レパルト・コルセ・ランチアに革命をもたらしたマシン

WRCで勝利するために動き出したストラトスの開発プロジェクトは、なにもかもが革新的だった。ベルトーネによる優美なデザイン。丸ごと着脱可能な前後ハッチの構造や、わずか800kgという驚異的な軽やかさ。
そして、2.4リッター65度V型６気筒のフェラーリ ディーノ エンジンが叩き出す280馬力を超えるハイパワー。高性能車を意味する「HF」を冠したストラトスが、難しく過酷な1970年代のラリーコースの数々を走破し、勝利を重ねることができたのは、当時のラリーカーでは突出した究極的な高性能を備えていたおかげだった。
1976年モンテカルロ戦優勝車ゼッケン10番のストラトスHF

本シリーズの製作モデルは、サンドロ・ムナーリが駆った登録番号「TO M54374」のストラトスHF。アリタリアカラーに10番のゼッケンが付いた1973年の開幕戦、ラリー・モンテカルロのディテールが精密に再現されている。前後ハッチの開閉機構や、着脱可能のライトポッドカバー、ホイールやタイヤ、リアルなコクピット、もちろんミッドシップに搭載されたディーノV6エンジンまで、稀代の傑作ラリーカーの真髄を堪能することができる。"
Hachette,江戸川乱歩と名作ミステリーの世界,"絢爛たる装丁で幻想とロマンあふれるミステリーの世界へ誘います
幻想とロマンに満ちたミステリーのラビリンスへようこそ。『江戸川乱歩と名作ミステリーの世界』は、江戸川乱歩の作品をはじめ、ミステリー史に残るさまざまな傑作を絢爛豪華なハードカバーで集めることができるシリーズです。妖しくも美しい――。そんな魅惑に満ちたミステリーワールドをぜひご堪能あれ。
あなたのお部屋でノスタルジックな輝きを放つコレクション
ヴィンテージ風にデザインされ、モダンレトロな佇まいが美しいハードカバーは、インテリアアイテムとしてあなたのお部屋に飾ることもできます。
絢爛な装丁が醸し出す、ノスタルジックな雰囲気に浸ってみてはいかがですか？
妖しい魅力にあふれたミステリーの世界をのぞいてみませんか？
シリーズでは、本格的なサスペンスミステリーだけでなく、幻想的で耽美的、そして官能的で猟奇的な作品まで、世界の奇想ミステリーを幅広く選出しました。
ミステリーのもつ魔性の魅力を存分にお楽しみください。"
Hachette,週刊エイリアンゼノモーフをつくる,"いまだかつて存在しなかった大きさ、ディテール、ギミックすべてが圧倒的！
1979年、初めてその姿を現した「ゼノモーフ」前代未聞の120cm、ビッグサイズで登場！

1979年に公開された『エイリアン』で、音もなく近づいてきた見たこともない恐ろしい存在「ゼノモーフ」。映画史上に残る、究極のモンスターがついに組み立てモデルで登場する。
禍々しくも美しく、そして暗闇に溶け込む独特極まりないフォルム。これまで数々のフィギュアや美術品のモチーフともされてきた「ゼノモーフ」。アメリカの「ポップアートミュージアム」に展示されている、第１作目で実際に使用されたプロップボディから、精密に型取りを行った。1/2スケール＝120cmという今までにない巨大さと劇中同様の動きが再現できるギミックで思う存分堪能していただきたい！"
Hachette,"ウォーハンマー40,000：IMPERIUM","帝国へようこそ
手に汗握るテーブルトップ・ウォーゲーム『ウォーハンマー40,000：IMPERIUM』の世界へようこそ！これは人類が存亡を賭けて、異種族や反逆者、その他の凶悪な敵と戦っている41千年紀への入り口である。君は、素晴らしいミニチュアのアーミーを組み立て、ペイントし、集め、戦火に包まれた〈人類の帝国〉の銀河で過酷な戦いを行うだろう。
41千年紀の遠未来を舞台にした対戦ゲーム
近刊予告
君だけのアーミーを作ってゲームをプレイしよう！
『ウォーハンマー40,000：IMPERIUM』のコレクションには、ゲームズワークショップが作り出したとても精巧なプラスチック・ミニチュアから数十種類が付属する。
コレクションを終える頃には、『ウォーハンマー40,000』の壮大なゲームをプレイできるだけの十分な数のミニチュアが手に入り、それらはきっと君を楽しませてくれることだろう！"
Hachette,スバル360をつくる,"夢と希望を乗せて走った“てんとう虫”。
全長37.4cm！1/8ならではの精密さを実現ボディは重厚なダイキャスト製！価値のある増加試作車を綿密取材により再現！
サウンドコントローラー付きディスプレイベースも製作！

※ 本シリーズは全90号で完結予定となります。
ディスプレイベースもスバル360の組み立てと並行して制作します。
昭和日本の国民車スバル360を組み立てよう！
1958(昭和33)年3月。東京・日本橋の白木屋デパートで
富士重工業（現・ SUBARU）から2台の軽自動車がお披露目された。その名は「スバル360」。
愛くるしいその躯体の内側に戦後日本の技術力を凝縮した2気筒16PSのエンジンを秘め、
大人4人を乗せ、未舗装のでこぼこ道を駆け抜けた。
日本の大衆車の原点として再評価が高まるスバル360。
精密再現された1/8モデルで、昭和日本の情熱を追体験しよう！"
Hachette,鷲沢玲子のはじめてのホワイトキルト,"白いモチーフをつなげて、タペストリーを仕上げましょう
白い布に立体感を出せる「トラプント技法」は、光の陰影で模様が美しく引き立ちます。
ホワイトキルトのタペストリー

30数年前、トラプントキルトに初めて出会い、石膏彫刻のレリーフのような美しさに、
心から感動したのを覚えています。
それ以来、キルトに美しいトラプントを再現する試行錯誤が始まりました。
時を重ね、なんとか美しいと思えるトラプントキルトの手法を探り当てられたのではないかと思います。
今回のタペストリーはヨーヨーキルトもたくさん使い、オリジナリティあふれるものになりました。
ホワイトキルトはキルトの中でも、少し上級者が手がける事が多く難しい印象がありますが、
今回は初めての方でもわかるように、とても丁寧に紹介していますのでぜひチャレンジしてみてください。 "
Hachette,ピーターラビット?の世界イングリッシュガーデン＆ハウス,"眺めているだけで物語に入り込んでしまいそうなピーターラビットの仲間たちがあそぶ、憧れのお家とお庭。小さくてかわいいミニチュアをつくって組み立ててあなたのお部屋にとっておきの夢の世界をつくりましょう。
絵本の世界があなただけのドールハウスに！

物語のエッセンスが散りばめられたガーデン＆ハウスには、ていねいに細かくつくられた、なじみのかわいいアイテムがいっぱい！工夫しだいで絵本のワンシーンも再現できるかも!?
わかりやすいマガジンとサポート動画で誰でも組み立てかんたん

レンガ造り風のハウスとガーデンが生み出す色彩豊かなドールハウスですが、初めての方でも無理なく組み立てられるように設計されています。マガジンでは手順を順番に写真で解説。手元まで確認できるサポート動画も付いています！
ランプ照明やほら穴ハウスなど楽しい工夫がいっぱい

丘の下のほら穴ハウスや、やわらかな光のランプ照明、 取り外し式の納屋など、楽しい仕掛けが盛りだくさん。土台部分は引き出しになっていて、パーツの保管にも便利です。"
Hachette,空母 赤城ダイキャストギミックモデルをつくる,"圧倒的かつ緻密なディティールで現代によみがえる空母「赤城」
真珠湾攻撃で活躍した伝説の大型空母「赤城」が、
1/250スケールのダイキャストギミックモデルとして復活！
完成後はリモコン操作で、司令長官になりきり「赤城」を指揮できます。
全長1ｍを超える1/250スケールのダイキャストボディ！電動・手動・発煙・ライト・サウンドの5種類の多彩なギミックでさまざまな作戦を再現！

※ 本シリーズは110号で完結予定となります。
※ 実際の商品は写真と異なる場合があります。
第一航空艦隊旗艦 空母「赤城」

「赤城」は、世界初の空母機動隊・第一航空艦隊の旗艦である。昭和16(1941)年12月8日の真珠湾攻撃を皮切りに、以降の半年間、南太平洋からインド洋まで向かうところ敵なしの活躍を見せた。(写真提供：大和ミュージアム)
最高の3DCGが実現した格別のリアリティ

著名なCGクリエイター・松野正樹氏が、真珠湾攻撃に出撃する空母「赤城」の姿を精巧に3D化。「赤城」ダイキャストギミックモデルは、松野氏の3DCGを忠実に模型化しており、格別のリアリティを演出しています。（イラスト：松野正樹）"
Hachette,恋愛小説の世界名作ブックコレクション,"甘くて切ない極上の物語を美しい装丁で味わいましょう
甘酸っぱい初恋や、許されない禁断の恋、試練を乗り越え見つけた真実の愛……。
『恋愛小説の世界 名作ブックコレクション』は、世界の名作恋愛小説を豪華ハードカバーで楽しむことができるシリーズです。
胸を打つ素晴らしい物語を美しい本で味わいながら、心満たされる豊かなひとときをお過ごしください。
“おとなの教養”が身につく古典・近代文学
シリーズでは、世界の文学史に残る名作を毎号お届けします。時代を超えて世界中で読み継がれる古典～近代文学作品をとおして、各国の文化や社会制度、歴史などの“おとなの教養”が自然と身につきます
あなたのお部屋を彩る優雅なコレクション

アンティーク調の装飾が美しいハードカバーは、お部屋のインテリアとして飾って楽しむこともできます。毎号のコレクションをそろえることで、恋の香り漂うあなただけのアートギャラリーが完成します。
あなたのお部屋を彩る優雅なコレクション

シリーズオリジナルのハードカバーは、細部までこだわり抜いてデザインされた特別仕様。
読書中の気分も上げながら耐久性にも優れているため、名作小説をいつまでも楽しむことができます。"
Hachette,宇宙戦艦ヤマト（再延長）ヒュウガ,"171号から戦闘空母ヒュウガがスタート!!迫力のダイキャストギミックモデルついに登場!!
本シリーズは依然として好評につき、さらなる延長が決定いたしました。 171号からは、新たなヤマト艦隊、第65護衛隊の主力を担う「ヒュウガ」を、ヤマトやアンドロメダと同じく1/350スケールで組み立てていきます。「ヒュウガ」の特徴である船体後部の飛行甲板はもちろん、船体各部や艦橋、波動砲などの発光ギミックや各種の可動ギミックを搭載。『宇宙戦艦ヤマト2205 新たなる旅立ち』本編でメカニカルデザインを手がけた玉盛順一朗氏監修による、ハイディテールなギミックモデルとなるヒュウガが完成します!!
ヒュウガ最大の特徴であるアングルド・デッキ（斜め飛行甲板）には、コスモパイソン、コスモタイガーⅡ、コスモシーガルなど各種艦載機をお好みのレイアウトでディスプレイ可能。

    ※延長は全80号を予定しております(第171～250号)。
    ※写真は開発中の試作となります。実際の商品は写真と異なる場合があります。

ヤマトの艦載機も、171～250号でご提供します！
コスモゼロや100式空間偵察機、コスモシーガルといった各種艦載機などを予定

    ※ヤマトの艦載機が同梱される号数については、「よくあるご質問」ページにてお知らせいたします。

ヒュウガを大サイズで立体化！発光や可動など、劇中同様のギミックが楽しめる！!
ボディ外装には重厚感あるダイキャストを使用。緻密なディテールと、艦橋をはじめ船体各部に発光ギミックを満載。さらに砲塔の旋回やハッチの開閉など、豊富な可動ギミックとシャープなシルエットを両立しています。
波動砲
ヒュウガのベースとなったドレッドノート級の波動砲。ライフリングのディテールと発光ギミックにより劇中同様の発射シーンが楽しめます。
30.5センチ三連装
収束圧縮型衝撃波砲塔
前部甲板に２基が集中装備される砲塔は左右に旋回が可能で、砲身も上下に可動します。さらに砲口には発光ギミックを内蔵し、発射シーンを再現できます。"
Hachette,ENJOY!OUTDOOR,"このシリーズは、毎号付属のマガジンとツールを集めながらアウトドアのテクニックを楽しくマスターするツール付き体験コースです。
付属ツール 毎号ついてくるツールや素材で手軽に体験+マガジン 4つのカテゴリーで丁寧にわかりやすく解説 火口用麻紐 ウッドストーブグループでも役立つ情報満載！ケース付き 火を焚く 着火や焚き火のやり方を写真やイラストを使ってわかりやすく説明します。食べる 野外料理から暮らしに役立つレシピまで幅広く紹介します。住む シチュエーションごとに快適な居場所づくりのノウハウを紹介します。遊ぶ 気軽に楽しめる遊びからサバイバルや狩猟まで幅広く取り上げます。基本から応用までチャレンジしたくなる“3つ”のレベル ベーシック 必ず押さえておきたい基本的な知識を、体験とともに学びます。アドバンス 付属ツールを使ったDIY、基本から一歩すすんだ応用テクニックを学びます。マスター 自然を満喫する原始体験など、さらに深い楽しみ方を学びます。
体験に必要なツールや素材がついてくる 専用バッグを定期購読者全員にプレゼント！ カテゴリーごとに道具をパッキング！ 迷子知らず！バックパック ソロ泊の装備もバッチリ収まる！テントやシュラフ、衣類、食料が入る大容量コンパートメント。第8号 小型ウッドテーブル 背面ポケットに収納 ウエストバッグ 料理道具がたっぷり収まる！ クッカーやカトラリー、調味料ケースもたくさん詰められる。※インナー使用例 コンパクトに収納！ナイフやアルストも仕切りポケットでキレイに整頓。※インナー使用例 第2号 メスティン＆メッシュトレイ スッポリ入るサイズ！ 第3号 フォールディングナイフ 専用ポケットに！ 創刊号 ウッドストーブ 分解して収納！ マガジンに付属するツールは専用バッグに入れてコレクションできます。グローブやロープはジップポケットへ ドリンクボトルは両サイドのメッシュポケットへ ポーチやツールを付けられる “ウェイビング” 取り外し可能 防災バッグとしても役立つ！"
Hachette,マーベルグラフィックノベル・コレクション," 購入に関して-よくあるご質問はこちら
すべてのファンに贈るマーベル・コミック決定版コレクション
ウルヴァリン、ハルク、キャプテン・アメリカ、スパイダーマン、アイアンマン、デッドプール、
アルティメッツなど、マーベル・コミックが1960 年代から現代まで、世に送り出してきた
スーパーヒーローたちのすべてが詰まった、究極のグラフィックノベル・コレクション。
エキスパートが厳選した魅力的な作品で、マーベル・コミックの世界を思う存分満喫してほしい。
シリーズのコレクションが進むにつれ明らかになっていく、ガブリエル・デル・オットーの手によって壮大なマーベルの世界が描かれた精緻なイラストレーションもコレクションの醍醐味。
マーベルの最高傑作に出会う！"
Hachette,宇宙戦艦ヤマト（延長）アンドロメダ,"111号からアンドロメダがスタート!!大スケールのギミックモデルで設定を忠実に再現!!
本シリーズは好評につき延長が決定いたしました。111号からは、皆様からご要望の多かった「アンドロメダ」を、ヤマトと同じく1/350スケールで組み立てていきます。船体各部や艦橋、拡散波動砲の発光ギミックに加え、重力子スプレッドや砲塔には可動ギミックを搭載。『宇宙戦艦ヤマト2202 愛の戦士たち』本編でデザインを手がけた玉盛順一朗氏監修のハイディテールなギミックモデルのアンドロメダが完成します!!
アンドロメダを設定に忠実に再現。発光や可動など、各種ギミックが楽しめる!
アンドロメダの各種ギミックは設定を忠実に再現。ディテールに加え、艦橋をはじめとする船体各部に発光ギミックを満載。さらに砲塔の回転や魚雷発射管の展開など、可動ギミックを盛り込み、シルエットとギミックを両立しています。
拡散波動砲
アンドロメダの特徴である艦首の拡散波動砲は複雑なライフリングのディテールを再現。また、発光ギミックによって劇中の発射シーンを表現できます。
40.6センチ三連装
収束圧縮型衝撃波砲塔
前部甲板と後部甲板に2基ずつ、計4基を備える砲塔は、砲塔と砲身に可動ギミックを搭載します。さらに砲口には発光ギミックを内蔵し、発射シーンを再現。
艦橋
特徴的な形状の艦橋は、ディテールに加え、発光ギミックを内蔵。なお、発光ギミックは通常時と戦闘時の2種を切り替えられます。"
Hachette,鉄の城マジンガーＺ巨大メタル・ギミックモデルをつくる,"皆が夢見た 真の「鉄の城」が ついに実現

TVアニメーション『マジンガーZ』は1972年12月より放送開始。巨体から繰り出される武器の圧倒的なパワーは、全国の子供たちを魅了。それから半世紀、その魅力を完全再現した巨大メタル・ギミックモデルが、ついに完成。しかも専用メンテナンスベースに搭載することにより、今まで見たことのない、真の「鉄（くろがね）の城」が実現するのだ。
超重厚メタルボディ 全高75cm 大迫力の巨大メタル・ギミックモデル 組み立て簡単!! 初心者の方でも無理なく組み立てられます。
全高約75cm
全高約75cm唯一無二のスーパーロボット、ここに完成 "
Hachette,TOYOTA2000GTダイキャストギミックモデルをつくる,"美しき日本の伝説が今よみがえる。
ロングノーズ・ファストバックの美しいスタイルと当時最先端のメカニズムで世界にその名を知らしめたスポーツカー、TOYOTA 2000GT。この幻の名車を徹底した取材と貴重な現存車両の3Dスキャニングによって、一体成型ならではのダイキャスト製ギミックモデルとして精巧に再現しました。あなたの手で今、日本が世界に誇る“レジェンド”がよみがえります。

※ 本シリーズは100号で完結予定となります。
※ 実際の商品は写真と異なる場合があります。
一体成型ボディの本格スケールモデル！

全長約52.2cmのボディはダイキャスト製で、継ぎ目の無い一体成型。実車を3Dスキャニングしてつくり込まれた忠実な再現度は圧倒的です。
実車そのままの多彩なギミック

特徴的なリトラクタブルヘッドライトの開閉をはじめ、ドアやボンネットの開閉、各種ライトの点灯、実車から録音抽出したエンジンやクラクションなどのサウンドギミックも搭載。実車同様のギミックを専用のリモコンで操作できます。
組み立て簡単

模型づくりが初めての方でも、マガジンに沿って手順通りに組み立てていくだけで簡単に完成させられます。一度に届くパーツは一週間で無理なく組み立てられる分量になっています。"
Hachette,西洋・東洋占術のすべて占いの世界改訂版,"広大な“占いの世界”を正しい知識とともに巡りましょう
シリーズでは、アイテムとともに世界中のさまざまな占いを紹介。正しい占いの知識が少しずつ身につきます。
複数のジャンルを組み合わせて総合的に占いを活用します。
初心者 占いを正しく知ろう 「迷信」「まやかしもの」など、占いは偏った見方をされることがあります。まずは、それぞれの占いの特徴や背景を理解し、基礎的な知識を学びましょう。 中級者 実際に占ってみよう 知識だけもっていても占うことはできません。付属の占いアイテムを使って技術を習得しましょう。実際に占ってみることで、占いの活用の仕方が身についていきます。 上級者 占いの精度を上げよう 占いの知識を深め、応用的な占い方をマスターします。また、さまざまな占いを身につけたら、それぞれの特徴を活かし、実生活で役立てましょう。 "
Hachette,はじめてのディズニークロスステッチ,"ステップバイステップでディズニーキャラクターを刺しながら本誌オリジナルの作品をつくりましょう。

おなじみのディズニーキャラクターを刺しゅうして、本誌オリジナルの作品を5点つくりましょう。
必要な材料はすべて付属！
詳しい刺し方をマガジンで学べるので、はじめてでも簡単！
身につけたテクニックで作成できる素敵なディズニーのオリジナルデザイン小物の作例も紹介します。
刺しゅう布、クロスステッチ針、図案など必要な材料がすべてついてくるのですぐに始められます！サンプラーの糸の色は全部で68色　細かな色の濃淡でキャラクターの生き生きとした表情を再現します。
キャラクターのモチーフは全部で47種類　大好きなディズニーキャラクターを自分の手でつくりましょう"
Hachette,国産名車プレミアムコレクション,"至極のアーカイブス。1/43 高品質モデルで揃える傑作国産車のコレクション
時代時代の先端技術と開発者たちの情熱を乗せ、市場に放たれてきた幾多の国産車たち。
日本が世界に誇る国産自動車の傑作の数々が、高精度なミニチュアモデルで勢揃いします。
自動車を愛する大人のための、プレミアムコレクションの誕生です！
01 NISSAN SKYLINE 2000GT-R (KPGC110)1973
Rの赤が映えるGT-Rエンブレム

Rの赤が映えるGT-Rエンブレム
シャープなサーフィンライン

シャープなサーフィンライン
インテリアも緻密に表現

インテリアも緻密に表現
忘れ得ぬ名車が続々。国産車の歴史を彩る傑作車・人気車を厳選
02 HONDA NSX 1990
エッジの効いたインテーク

エッジの効いたインテーク
インテリアも緻密に表現

インテリアも緻密に表現
03 MAZDA COSMO SPORT L10B 1968
高品質なクロームの質感

高品質なクロームの質感
インテリアも緻密に表現

インテリアも緻密に表現
04 TOYOTA CELICA LB 2000GT 1973
リアルなディテール

リアルなディテール
インテリアも緻密に表現

インテリアも緻密に表現"
Hachette,ウルトラセブンポインターをつくる,"ウルトラ警備隊の万能車両が最新の技術と詳細な考証で甦る！！
1967年から放映され、今なお高い人気を誇る『ウルトラセブン』。
劇中で異星人の侵略から人類を守るウルトラ警備隊の脚となって大活躍を見せた特殊車両「TDF PO-1ポインター」が、多彩なギミックを満載したダイキャストモデルとして、ついに登場！！

※ 本シリーズは100号で完結予定となります。
※ 実際の商品は写真と異なる場合があります。
現存する各種画像や検証データを徹底解析！

現在までに残る貴重な資料や劇中の映像、各種データをもとに、円谷プロダクションの徹底的な監修を受け、究極の完成度を誇るモデルが完成しました。
最新3Dモデリング技術で劇中車に迫る精巧なディテールを実現！

円谷プロダクションに残る貴重な資料や本編映像、さらに当時の雑誌記事を徹底検証。車体全体のプロポーションはもちろん、ダッシュボードに並ぶ計器類や各部に配されたスイッチなど、隅々に至るまで精密な造形を実現し、模型の限界に挑む完成度を実現しています。
豊富な可動パーツと迫力のサウンド機能を実装！！

ドアやボンネットの開閉機構や三連装ミサイル・ポッドなど、劇中で描かれた可動パーツを多数搭載。手動による操作のほかに、一部のギミックは専用コントローラーで動かせます。さらにエンジンやレーザー光線銃、ミサイルの発射音といった迫力のSE、『ウルトラセブン』のBGMなど曲をリモコン操作で楽しむことができます。"
Hachette,しあわせを願うつるし飾り,"伝統的な縁起ものをつくって、つるし飾りを仕上げましょう。
たくさんの願いがこめられたモチーフを毎号ひとつずつつくり、輪につるして飾りましょう。
つるし飾り用とつまみ細工用の必要な材料は、全部付いてきます。

毎号、つるし飾り用のモチーフ1種と、つまみ細工のアクセサリーや小物をつくることができます。つるし飾り用の付属の生地は、正絹で伝統的な和柄や鮮やかな花柄など華やかです。第2号には、専用のピンセットも付属するので、初心者の方でもすぐに始められます。
つるし飾りの材料 つまみ細工の材料 第2号に付属ピンセット！
つるし飾り

華やかなちりめん生地でつくるふっくらとした愛らしいモチーフは、手元に置くだけで心が和みます。つるし飾りは、女の子の健やかな成長を願って、布で手づくりした縁起物をつるして飾られてきました。伊豆・稲取の「雛のつるし飾り」、福岡・柳川の「さげもん」、山形・酒田の「傘福」が日本三大つるし飾りと呼ばれています。これらの地域では、つるすものは全て「謂（いわ）れのあるもの」に限られ、今でも厳格に守られています。
今回は伝統的なモチーフをよりかわいらしくアレンジし、季節の花々を加えて紹介します。四季を通じて楽しめるインテリアとしてお部屋を華やかに彩ります。
つまみ細工

つまみ細工はかんざしなどの髪飾りをつくる手工芸として受け継がれてきました。
ちりめん生地や羽二重の華やかな着物地でつくりますが現代ではオーガンジーなどを使ってオリジナルなものもつくられます。 可愛いアクセサリーに、またお子さまやお孫さまの晴れ着を彩る記念の髪飾りをプレゼントしても喜ばれます。"
Hachette,ランボルギーニミウラをつくる,"宝石のごとき至上のスーパーカー、ランボルギーニ ミウラ P400 Sをつくる
“Questo è stato il momento in cui ho deciso di creare un’auto perfetta. ” Ferruccio Lamborghini

パーフェクトな車をつくろうと決めたのは
まさに、その瞬間だった。

フェルッチオ・ランボルギーニ
全長55cm ダイキャストボディ迫力スケールモデル ボディ＆シャシーは金属製 車輪はステアリングで操舵可能 ドア、前後のフードが開閉 音と光のギミックを搭載 scale 1:8 The “Automobili Lamborghini” and “Automobili Lamborghini Bull and Shield” trademarks, copyrights, designs and models are used under license from Automobili Lamborghini S.p.A, Italy.
※『ランボルギーニ ミウラをつくる』は全100号で完結予定となります。
歴史を書き換えたスポーツカーの芸術品

ランボルギーニ ミウラは、創業者フェルッチオが完璧な車を創造するべく特別な情熱を託して完成させたスーパースポーツカーである。その体躯のすみずみに、語り尽くせぬ物語が宿る。
1966年のジュネーブ・モーターショーで発表されたミウラは、当時販売されていたすべてのGTカーをたちまち時代遅れにしてしまった。自動車の歴史においてこれほどの革命的ポテンシャルを持ち得たマシンは類がない。当代第一級のベルトーネのスタジオが生み出した柔らかで魅力的なボディライン、ミッドシップに横置きされた新型V12型エンジンは比類なきパワーを誇った。美しい姿に獣のごとき猛々しさを秘めた稀代の名車である。

丁寧にスケールダウンされた細部のディテールも感動的だ。カンパニョーロ社製のスポークホイールを装着したタイヤは柔らかなゴム樹脂を使用。６枚フィンのインテークを備えたドアを開けば、ため息が出るような仕上がりの車内をのぞき込むことができる。人間工学に則したデザインのスポーツシート、味わいのあるクラシカルな計器を配置したダッシュボード。ステアリングやペダル類まで、憧れのスタイルが忠実に再現されている。
リアルな再現パーツで芸術品をくみ上げる

本シリーズで製作するのは、1968年に発表されたミウラ P400 Sの実車を徹底再現した1:8スケールモデルだ。テールの「S」はイタリア語のSpinto（超越したもの）の頭文字であり、荒削りだった初代ミウラのチューンナップバージョンであることを示す。
高品質な金属パーツが描き出す流麗なボディライン。フロント／リアのフードは、実車と同様の開閉機構が再現され、シート後方のV12型エンジンのメカニズムを堪能することができる。"
Hachette,西部警察MACHINE RS-1ダイキャストギミックモデルをつくる,"伝説の戦闘用スーパーパトカー令和に再び吼える！
1979年から放送された大人気アクションドラマ『西部警察』シリーズで大活躍した大門軍団のスーパーマシン「RS-1」を、1/8スケール（全長約58cm）で立体化。長年ファンが待ち望んだギミック満載の大サイズモデルが、ついに登場です!
ベースはスカイラインDR30
RS-1のベースカーは、日産自動車が1983年に発表した6代目スカイラインR30型（KDR30型）「ハードトップ 2000 ターボRS」だ。1990ccの直列4気筒4バルブDOHCエンジン「FJ20型」にターボを追加。当時、スカイラインの最高出力である190ps(140kW)を叩きだし、「史上最強のスカイライン」という称号を与えられた。まさに大門軍団に相応しいパワフルなマシンであった。 "
Hachette,はじめての刺し子,"毎号1枚ずつのモチーフと小物を刺しながら、刺し子を楽しく学びましょう。
刺し子は布を重ね合わせ、ひと針ひと針、刺し縫いする日本の伝統的な工芸です。
このシリーズでは、付属の材料で毎号1枚ずつモチーフを刺し、
カラフルなマルチカバーをつくります。
モチーフに加え、素敵な小物をつくる材料も各号少しずつ付いていますので、
さまざまな刺し子を楽しみながら学ぶことができます。
身についたテクニックを応用して、雑貨やインテリア小物をつくって楽しみましょう。
マルチカバーを完成させるうちに刺し子のスキルが上達します。
詳しい解説と写真を参照しながら、
付属の布と糸でモチーフを毎号１枚ずつ刺していきます。
各号で刺したモチーフをつなぎ合わせれば、
カラフルなマルチカバーが完成します。
モチーフは全部で80種類
さまざまな刺し子の伝統的な図案に挑戦しましょう。"
